,ts_1,ts_2,ts_3,ts_4,ts_5,ts_6,ts_7,ts_8,ts_9,ts_10,ts_11,ts_12,ts_13,ts_14,ts_15
count,44.0,46.0,49.0,50.0,47.0,46.0,46.0,47.0,48.0,47.0,46.0,47.0,48.0,48.0,47.0
avg,0.11795454545454546,0.1506521739130435,0.16346938775510209,0.16460000000000005,0.12851063829787232,0.12934782608695655,0.1334782608695652,0.1265957446808511,0.12791666666666668,0.15191489361702126,0.13695652173913042,0.17063829787234044,0.17375,0.17854166666666668,0.144468085106383
median,0.11,0.14,0.15,0.16,0.12,0.125,0.13,0.13,0.12,0.14,0.13,0.16,0.18,0.175,0.14
min,0.09,0.09,0.11,0.1,0.09,0.09,0.08,0.08,0.09,0.11,0.08,0.11,0.12,0.11,0.1
max,0.17,0.25,0.26,0.26,0.2,0.21,0.23,0.19,0.21,0.22,0.23,0.3,0.24,0.27,0.23
std,0.020178695499613344,0.046597358290164134,0.040129943037544726,0.040408414965202484,0.026253974240529054,0.028083894031450736,0.0340854036913385,0.02520356237440144,0.030886778005411238,0.029437152518423687,0.03488300727571167,0.04692249178592963,0.030864286265304543,0.04148240507197667,0.03499595786010076
