,ts_1,ts_2,ts_3,ts_4,ts_5,ts_6,ts_7,ts_8,ts_9,ts_10,ts_11,ts_12,ts_13,ts_14,ts_15,ts_16,ts_17,ts_18
count,6.0,6.0,6.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
avg,0.093,0.088,0.115,0.087,0.088,0.097,0.087,0.087,0.1,0.105,0.095,0.075,0.125,0.095,0.09,0.07,0.09,0.065
median,0.09,0.09,0.11,0.09,0.09,0.1,0.09,0.09,0.1,0.105,0.095,0.075,0.125,0.095,0.09,0.07,0.09,0.065
min,0.07,0.06,0.08,0.08,0.06,0.09,0.08,0.08,0.09,0.1,0.08,0.07,0.12,0.08,0.08,0.06,0.08,0.06
max,0.13,0.12,0.15,0.09,0.11,0.1,0.09,0.09,0.11,0.11,0.11,0.08,0.13,0.11,0.1,0.08,0.1,0.07
std,0.022,0.02,0.024,0.005,0.019,0.005,0.005,0.005,0.008,0.005,0.015,0.005,0.005,0.015,0.01,0.01,0.01,0.005
