,ts_1,ts_2,ts_3,ts_4,ts_5,ts_6,ts_7,ts_8,ts_9,ts_10,ts_11,ts_12,ts_13,ts_14,ts_15,ts_16,ts_17,ts_18
count,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
avg,0.11,0.087,0.097,0.09,0.105,0.132,0.103,0.08,0.098,0.135,0.115,0.07,0.105,0.085,0.12,0.075,0.085,0.08
median,0.1,0.08,0.1,0.09,0.095,0.125,0.1,0.08,0.1,0.135,0.115,0.07,0.105,0.085,0.12,0.075,0.085,0.08
min,0.08,0.07,0.07,0.08,0.07,0.12,0.07,0.07,0.07,0.13,0.1,0.07,0.08,0.07,0.08,0.06,0.07,0.07
max,0.17,0.11,0.11,0.1,0.16,0.16,0.14,0.09,0.12,0.14,0.13,0.07,0.13,0.1,0.16,0.09,0.1,0.09
std,0.032,0.014,0.015,0.007,0.035,0.016,0.029,0.01,0.019,0.005,0.015,0.0,0.025,0.015,0.04,0.015,0.015,0.01
