,ts_1,ts_2,ts_3,ts_4,ts_5,ts_6,ts_7,ts_8,ts_9,ts_10,ts_11,ts_12,ts_13,ts_14,ts_15,ts_16,ts_17,ts_18
count,4.0,5.0,6.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
avg,0.112,0.138,0.138,0.13,0.13,0.153,0.152,0.138,0.15,0.115,0.11,0.105,0.175,0.145,0.13,0.12,0.13,0.12
median,0.11,0.13,0.14,0.13,0.14,0.15,0.14,0.135,0.13,0.115,0.11,0.105,0.175,0.145,0.13,0.12,0.13,0.12
min,0.11,0.11,0.09,0.11,0.11,0.14,0.11,0.11,0.1,0.1,0.08,0.1,0.17,0.1,0.1,0.12,0.13,0.12
max,0.12,0.17,0.18,0.15,0.14,0.17,0.22,0.17,0.24,0.13,0.14,0.11,0.18,0.19,0.16,0.12,0.13,0.12
std,0.004,0.02,0.029,0.016,0.014,0.013,0.046,0.024,0.055,0.015,0.03,0.005,0.005,0.045,0.03,0.0,0.0,0.0
