,ts_1,ts_2,ts_3,ts_4,ts_5,ts_6,ts_7,ts_8,ts_9,ts_10,ts_11,ts_12,ts_13,ts_14,ts_15,ts_16,ts_17,ts_18
count,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
avg,0.088,0.112,0.11,0.11,0.108,0.12,0.103,0.088,0.105,0.125,0.1,0.095,0.1,0.09,0.08,0.075,0.105,0.075
median,0.09,0.095,0.11,0.11,0.095,0.115,0.095,0.085,0.105,0.125,0.1,0.095,0.1,0.09,0.08,0.075,0.105,0.075
min,0.07,0.08,0.1,0.09,0.08,0.1,0.07,0.07,0.09,0.12,0.08,0.08,0.08,0.09,0.08,0.06,0.09,0.07
max,0.11,0.16,0.12,0.13,0.16,0.15,0.15,0.11,0.12,0.13,0.12,0.11,0.12,0.09,0.08,0.09,0.12,0.08
std,0.016,0.035,0.01,0.016,0.033,0.019,0.034,0.015,0.011,0.005,0.02,0.015,0.02,0.0,0.0,0.015,0.015,0.005
