,ts_1,ts_2,ts_3,ts_4,ts_5,ts_6,ts_7,ts_8,ts_9,ts_10,ts_11,ts_12,ts_13,ts_14,ts_15,ts_16,ts_17,ts_18
count,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
avg,0.57,0.538,0.413,0.11,0.122,0.125,0.105,0.1,0.11,0.12,0.1,0.12,0.12,0.1,0.09,0.085,0.09,0.09
median,0.09,0.115,0.12,0.09,0.11,0.115,0.1,0.1,0.11,0.12,0.1,0.12,0.12,0.1,0.09,0.085,0.09,0.09
min,0.07,0.08,0.09,0.07,0.08,0.1,0.09,0.09,0.08,0.1,0.1,0.08,0.11,0.08,0.09,0.08,0.08,0.08
max,1.71,1.67,1.06,0.19,0.19,0.17,0.13,0.11,0.14,0.14,0.1,0.16,0.13,0.12,0.09,0.09,0.1,0.1
std,0.693,0.634,0.43,0.047,0.046,0.027,0.017,0.007,0.022,0.02,0.0,0.04,0.01,0.02,0.0,0.005,0.01,0.01
