,ts_1,ts_2,ts_3,ts_4,ts_5,ts_6,ts_7,ts_8,ts_9,ts_10,ts_11,ts_12,ts_13,ts_14,ts_15,ts_16,ts_17,ts_18
count,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
avg,1.278,1.373,1.327,1.735,1.755,1.72,1.538,1.268,1.715,0.65,1.03,1.195,1.755,1.4,1.41,1.28,1.56,1.21
median,1.19,1.37,1.26,1.77,1.72,1.775,1.55,1.265,1.575,0.65,1.03,1.195,1.755,1.4,1.41,1.28,1.56,1.21
min,1.09,1.19,1.03,1.19,1.13,1.5,1.02,1.12,1.3,0.51,0.86,1.09,1.55,1.12,1.25,1.24,1.36,1.1
max,1.55,1.57,1.75,2.21,2.45,1.83,2.03,1.42,2.41,0.79,1.2,1.3,1.96,1.68,1.57,1.32,1.76,1.32
std,0.175,0.153,0.269,0.464,0.591,0.135,0.465,0.119,0.427,0.14,0.17,0.105,0.205,0.28,0.16,0.04,0.2,0.11
